"sourceKind","sourceId","sourceName","relation","targetKind","targetId","targetName"
"tag","205","Facebook - Product View","references_trigger","trigger","64","Event - view_item"
"tag","206","Facebook - View Category","references_variable","variable","28","dlv - Global - Currency Code"
"tag","206","Facebook - View Category","references_variable","variable","83","dlv - event_id"
"tag","206","Facebook - View Category","references_variable","variable","177","Facebook - Pixel ID"
"tag","206","Facebook - View Category","references_variable","variable","184","js - Facebook - Contents - Impressions"
"tag","206","Facebook - View Category","references_variable","variable","192","Facebook - product group"
"tag","206","Facebook - View Category","references_variable","variable","197","js - Facebook - Content_IDs - Impressions"
"tag","206","Facebook - View Category","references_trigger","trigger","35","Event - view_item_list"
"tag","207","Facebook - Email Signup","references_variable","variable","83","dlv - event_id"
"tag","207","Facebook - Email Signup","references_variable","variable","177","Facebook - Pixel ID"
"tag","207","Facebook - Email Signup","references_trigger","trigger","90","Event - subscribe - email"
"tag","210","Facebook - Purchase","references_variable","variable","28","dlv - Global - Currency Code"
"tag","210","Facebook - Purchase","references_variable","variable","50","dlv - Thank You Page - Customer Email"
"tag","210","Facebook - Purchase","references_variable","variable","52","dlv - Thank You Page - Customer Country Code"
"tag","210","Facebook - Purchase","references_variable","variable","63","dlv - Thank You Page - Customer Zip"
"tag","210","Facebook - Purchase","references_variable","variable","65","dlv - Thank You Page - Customer Last Name"
"tag","210","Facebook - Purchase","references_variable","variable","69","dlv - Thank You Page - Order ID"
"tag","210","Facebook - Purchase","references_variable","variable","72","dlv - Thank You Page - Customer Phone Number"
"tag","210","Facebook - Purchase","references_variable","variable","73","dlv - Thank You Page - Customer City"
"tag","210","Facebook - Purchase","references_variable","variable","74","dlv - Thank You Page - Customer First Name"
"tag","210","Facebook - Purchase","references_variable","variable","152","dlv - Thank You Page - Action Field"
"tag","210","Facebook - Purchase","references_variable","variable","176","dlv - user_id"
"tag","210","Facebook - Purchase","references_variable","variable","177","Facebook - Pixel ID"
"tag","210","Facebook - Purchase","references_variable","variable","185","var - Thank You Page - User Data Event ID"
"tag","210","Facebook - Purchase","references_variable","variable","186","Facebook - conversion value"
"tag","210","Facebook - Purchase","references_variable","variable","187","js - Facebook - Contents - Thank You Page"
"tag","210","Facebook - Purchase","references_variable","variable","188","js - Facebook - Content_IDs - Thank You Page"
"tag","210","Facebook - Purchase","references_variable","variable","189","dlv - Thank You Page - Customer Province Code"
"tag","210","Facebook - Purchase","references_variable","variable","190","js - Customer Type"
"tag","210","Facebook - Purchase","references_variable","variable","191","cookie - GA Client ID"
"tag","210","Facebook - Purchase","references_variable","variable","192","Facebook - product group"
"tag","210","Facebook - Purchase","references_variable","variable","476","js - Facebook - Content_Name - Thank You Page"
"tag","210","Facebook - Purchase","references_variable","variable","477","js - Facebook - Content_Category - Thank You Page"
"tag","210","Facebook - Purchase","references_trigger","trigger","480","Event - purchase"
"tag","221","GA4 Event - collection page - product lists click","references_variable","variable","215","GA4 ID"
"tag","221","GA4 Event - collection page - product lists click","references_trigger","trigger","220","Click - GA4 Event - collection page - product lists click"
"tag","223","GA4 Event - home page - featured collection click","references_variable","variable","215","GA4 ID"
"tag","223","GA4 Event - home page - featured collection click","references_trigger","trigger","222","Click - GA4 Event - home page - featured collection click"
"tag","227","GA4 Event - navigation - footer nav click","references_variable","variable","215","GA4 ID"
"tag","227","GA4 Event - navigation - footer nav click","references_trigger","trigger","226","Click - GA4 Event - navigation - footer nav click"
"tag","229","GA4 Event - product page - add to cart click","references_variable","variable","215","GA4 ID"
"tag","229","GA4 Event - product page - add to cart click","references_trigger","trigger","228","Click - GA4 Event - product page - add to cart click"
"tag","231","GA4 Event - recommended products click","references_variable","variable","215","GA4 ID"
"tag","231","GA4 Event - recommended products click","references_trigger","trigger","230","Click - GA4 Event - recommended products click"
"tag","233","GA4 Event - home page - shop onesies click","references_variable","variable","215","GA4 ID"
"tag","233","GA4 Event - home page - shop onesies click","references_trigger","trigger","232","Click - GA4 Event - home page - shop onesies click"
"tag","237","GA4 Event - home page - featured products click","references_variable","variable","215","GA4 ID"
"tag","237","GA4 Event - home page - featured products click","references_trigger","trigger","235","Click - GA4 Event - home page - featured products click"
"tag","237","GA4 Event - home page - featured products click","references_trigger","trigger","236","Click - GA4 Event - home page - featured products 2 click"
"tag","239","GA4 Event - cart drawer - upsell products click","references_variable","variable","215","GA4 ID"
"tag","239","GA4 Event - cart drawer - upsell products click","references_trigger","trigger","238","Click - GA4 Event - cart drawer - upsell products click"
"tag","247","GA4 Event - global feature - quickshop atc button click","references_variable","variable","215","GA4 ID"
"tag","247","GA4 Event - global feature - quickshop atc button click","references_trigger","trigger","246","Click - GA4 Event - global feature - quickshop atc button click"
"tag","248","GA4 Event - home page - deal of the week click","references_variable","variable","215","GA4 ID"
"tag","248","GA4 Event - home page - deal of the week click","references_trigger","trigger","245","Click - GA4 Event - home page - deal of the week click"
"tag","250","GA4 Event - navigation - desktop main nav click","references_variable","variable","215","GA4 ID"
"tag","250","GA4 Event - navigation - desktop main nav click","references_trigger","trigger","241","Click - GA4 Event - navigation - desktop main nav 2 click"
"tag","250","GA4 Event - navigation - desktop main nav click","references_trigger","trigger","243","Click - GA4 Event - navigation - desktop main nav click"
"tag","251","GA4 Event - product page - hot seller products click","references_variable","variable","215","GA4 ID"
